Type;Address;IstOpcode;SollOpcode;IstCommand;SollCommand
B;0x09004;0x0000;0xFFFF;NOP;NOP
B;0x09006;0x0000;0xFFFF;NOP;NOP
A;0x09400;0xEF53;0x0631;GOTO 0x90A6;DECF 0x31, F, ACCESS
B;0x09402;0xF048;0xFF00;NOP;NOP
A;0x09404;0x0000;0x0109;NOP;MOVLB 0x9
A;0x09406;0x0000;0x01A1;NOP;MOVLB 0x1
A;0x09800;0xEF53;0x2BD2;GOTO 0x90A6;INCF 0xD2, F, BANKED
A;0x09802;0xF048;0x51D2;NOP;MOVF 0xD2, W, BANKED
A;0x09804;0x0000;0x0D01;NOP;MULLW 0x1
A;0x09806;0x0000;0x0EC3;NOP;MOVLW 0xC3
A;0x09C00;0xEF53;0x0102;GOTO 0x90A6;MOVLB 0x2
A;0x09C02;0xF048;0xBF1E;NOP;BTFSC 0x1E, 7, BANKED
A;0x09C04;0x0000;0xD013;NOP;BRA 0x9C2C
A;0x09C06;0x0000;0x511E;NOP;MOVF 0x1E, W, BANKED
A;0x0A000;0xEF53;0x22DA;GOTO 0x90A6;ADDWFC FSR2H, F, ACCESS
A;0x0A002;0xF048;0x0E00;NOP;MOVLW 0x0
A;0x0A004;0x0000;0x6EDE;NOP;MOVWF POSTINC2, ACCESS
A;0x0A006;0x0000;0x0E00;NOP;MOVLW 0x0
A;0x0A3FE;0xEE26;0xEE26;LFSR 2, 0x653;LFSR 2, 0x604
A;0x0A400;0xEF53;0xF004;GOTO 0x90A6;NOP
A;0x0A402;0xF048;0xC0A1;NOP;MOVFF 0xA1, INDF2
B;0x0A404;0x0000;0xFFDF;NOP;NOP
A;0x0A406;0x0000;0xEE26;NOP;LFSR 2, 0x605
A;0x0A800;0xEF53;0xA0D8;GOTO 0x90A6;BTFSS STATUS, 0, ACCESS
A;0x0A802;0xF048;0xD003;NOP;BRA 0xA80A
A;0x0A804;0x0000;0xEC67;NOP;CALL 0x128CE, 0
B;0x0A806;0x0000;0xF094;NOP;NOP
A;0x0AC00;0xEF53;0x0EF4;GOTO 0x90A6;MOVLW 0xF4
A;0x0AC02;0xF048;0x0102;NOP;MOVLB 0x2
A;0x0AC04;0x0000;0x257E;NOP;ADDWF 0x7E, W, BANKED
A;0x0AC06;0x0000;0x0100;NOP;MOVLB 0x0
A;0x0B000;0xEF53;0x5196;GOTO 0x90A6;MOVF 0x96, W, BANKED
A;0x0B002;0xF048;0x6F8C;NOP;MOVWF 0x8C, BANKED
A;0x0B004;0x0000;0x6B8D;NOP;CLRF 0x8D, BANKED
A;0x0B006;0x0000;0x0E01;NOP;MOVLW 0x1
A;0x0B400;0xEF53;0x51D1;GOTO 0x90A6;MOVF 0xD1, W, BANKED
A;0x0B402;0xF048;0x0D01;NOP;MULLW 0x1
A;0x0B404;0x0000;0x0EB8;NOP;MOVLW 0xB8
A;0x0B406;0x0000;0x24F3;NOP;ADDWF PROD, W, ACCESS
A;0x0B800;0xEF53;0x6EF8;GOTO 0x90A6;MOVWF TBLPTRU, ACCESS
A;0x0B802;0xF048;0xEE21;NOP;LFSR 2, 0x100
B;0x0B804;0x0000;0xF000;NOP;NOP
A;0x0B806;0x0000;0x0E07;NOP;MOVLW 0x7
A;0x0BC00;0xEF53;0xBEDF;GOTO 0x90A6;BTFSC INDF2, 7, ACCESS
A;0x0BC02;0xF048;0xD0AE;NOP;BRA 0xBD60
A;0x0BC04;0x0000;0xEE20;NOP;LFSR 2, 0x1
B;0x0BC06;0x0000;0xF001;NOP;NOP
A;0x0C000;0xEF53;0x0012;GOTO 0x90A6;RETURN 0
A;0x0C002;0xF048;0x010D;NOP;MOVLB 0xD
A;0x0C004;0x0000;0x0532;NOP;DECF 0x32, W, BANKED
A;0x0C006;0x0000;0xA4D8;NOP;BTFSS STATUS, 2, ACCESS
A;0x0C400;0xEF53;0xCFDD;GOTO 0x90A6;MOVFF POSTDEC2, 0x64
B;0x0C402;0xF048;0xF064;NOP;NOP
A;0x0C404;0x0000;0xC064;NOP;MOVFF 0x64, 0x63
B;0x0C406;0x0000;0xF063;NOP;NOP
A;0x0C7FE;0xC0AD;0xC0AD;MOVFF 0xAD, CVRCON;MOVFF 0xAD, 0x96
A;0x0C800;0xEF53;0xF096;GOTO 0x90A6;NOP
A;0x0C802;0xF048;0x1F95;NOP;COMF 0x95, F, BANKED
A;0x0C804;0x0000;0x1F96;NOP;COMF 0x96, F, BANKED
A;0x0C806;0x0000;0x4B95;NOP;INFSNZ 0x95, F, BANKED
A;0x0CC00;0xEF53;0x2380;GOTO 0x90A6;ADDWFC 0x80, F, BANKED
A;0x0CC02;0xF048;0x0E83;NOP;MOVLW 0x83
A;0x0CC04;0x0000;0x257F;NOP;ADDWF 0x7F, W, BANKED
A;0x0CC06;0x0000;0x6ED9;NOP;MOVWF FSR2, ACCESS
A;0x0D000;0xEF53;0x0100;GOTO 0x90A6;MOVLB 0x0
A;0x0D002;0xF048;0x6F91;NOP;MOVWF 0x91, BANKED
A;0x0D004;0x0000;0x0E06;NOP;MOVLW 0x6
A;0x0D006;0x0000;0x6F92;NOP;MOVWF 0x92, BANKED
A;0x0D3FE;0xC064;0xC064;MOVFF 0x64, CVRCON;MOVFF 0x64, 0xC0
A;0x0D400;0xEF53;0xF0C0;GOTO 0x90A6;NOP
A;0x0D402;0xF048;0xC065;NOP;MOVFF 0x65, 0xC1
B;0x0D404;0x0000;0xF0C1;NOP;NOP
A;0x0D406;0x0000;0xC0C0;NOP;MOVFF 0xC0, 0xC2
A;0x0D800;0xEF53;0xC06B;GOTO 0x90A6;MOVFF 0x6B, 0x76
B;0x0D802;0xF048;0xF076;NOP;NOP
A;0x0D804;0x0000;0xC06C;NOP;MOVFF 0x6C, 0x77
B;0x0D806;0x0000;0xF077;NOP;NOP
A;0x0DC00;0xEF53;0x0E00;GOTO 0x90A6;MOVLW 0x0
A;0x0DC02;0xF048;0x21F4;NOP;ADDWFC 0xF4, W, BANKED
A;0x0DC04;0x0000;0x6E02;NOP;MOVWF 0x2, ACCESS
A;0x0DC06;0x0000;0xC001;NOP;MOVFF 0x1, TBLPTR
A;0x0E000;0xEF53;0x6F6D;GOTO 0x90A6;MOVWF 0x6D, BANKED
A;0x0E002;0xF048;0xD005;NOP;BRA 0xE00E
A;0x0E004;0x0000;0x3573;NOP;RLCF 0x73, W, BANKED
A;0x0E006;0x0000;0x3373;NOP;RRCF 0x73, F, BANKED
A;0x0E3FE;0xEE20;0xEE20;LFSR 2, 0x53;LFSR 2, 0x2
A;0x0E400;0xEF53;0xF002;GOTO 0x90A6;NOP
A;0x0E402;0xF048;0x51FB;NOP;MOVF 0xFB, W, BANKED
A;0x0E404;0x0000;0x26D9;NOP;ADDWF FSR2, F, ACCESS
A;0x0E406;0x0000;0x51FC;NOP;MOVF 0xFC, W, BANKED
A;0x0E800;0xEF53;0x0012;GOTO 0x90A6;RETURN 0
A;0x0E802;0xF048;0xEE20;NOP;LFSR 2, 0x2
B;0x0E804;0x0000;0xF002;NOP;NOP
A;0x0E806;0x0000;0x5169;NOP;MOVF 0x69, W, BANKED
A;0x0EC00;0xEF53;0x0E08;GOTO 0x90A6;MOVLW 0x8
A;0x0EC02;0xF048;0x6EDF;NOP;MOVWF INDF2, ACCESS
A;0x0EC04;0x0000;0xEE20;NOP;LFSR 2, 0x2
B;0x0EC06;0x0000;0xF002;NOP;NOP
A;0x0EFFE;0xEC75;0xEC75;CALL 0x1EA6EA, 0;CALL 0xFAEA, 0
A;0x0F000;0xEF53;0xF07D;GOTO 0x90A6;NOP
A;0x0F002;0xF048;0xC0FE;NOP;MOVFF 0xFE, 0xFD
B;0x0F004;0x0000;0xF0FD;NOP;NOP
A;0x0F006;0x0000;0x0012;NOP;RETURN 0
A;0x0F400;0xEF53;0x0100;GOTO 0x90A6;MOVLB 0x0
A;0x0F402;0xF048;0x276C;NOP;ADDWF 0x6C, F, BANKED
A;0x0F404;0x0000;0x296C;NOP;INCF 0x6C, W, BANKED
A;0x0F406;0x0000;0x6F6D;NOP;MOVWF 0x6D, BANKED
A;0x0F800;0xEF53;0x6FEA;GOTO 0x90A6;MOVWF 0xEA, BANKED
A;0x0F802;0xF048;0x0100;NOP;MOVLB 0x0
A;0x0F804;0x0000;0xA1F6;NOP;BTFSS 0xF6, 0, BANKED
A;0x0F806;0x0000;0xD01E;NOP;BRA 0xF844
A;0x0FC00;0xEF53;0x6FFB;GOTO 0x90A6;MOVWF 0xFB, BANKED
A;0x0FC02;0xF048;0xEE20;NOP;LFSR 2, 0x1
B;0x0FC04;0x0000;0xF001;NOP;NOP
A;0x0FC06;0x0000;0x5049;NOP;MOVF 0x49, W, ACCESS
A;0x122B2;0x1300;0xFF00;IORWF 0x0, F, BANKED;NOP
A;0x12400;0xF096;0xC08D;NOP;MOVFF 0x8D, 0x93
A;0x12402;0x0100;0xF093;MOVLB 0x0;NOP
A;0x12800;0xF096;0x0E6A;NOP;MOVLW 0x6A
B;0x12AF4;0x0000;0xFF00;NOP;NOP
A;0x12C02;0x0100;0x0012;MOVLB 0x0;RETURN 0
A;0x12C04;0x6F65;0x0100;MOVWF 0x65, BANKED;MOVLB 0x0
A;0x12E24;0xEF95;0xFFFF;GOTO 0x12B2A;NOP
B;0x12E26;0xF095;0xFFFF;NOP;NOP
A;0x12E28;0x0102;0xFFFF;MOVLB 0x2;NOP
A;0x12E2A;0x81BB;0xFFFF;BSF 0xBB, 0, BANKED;NOP
A;0x12E2C;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x12E2E;0x6FBD;0xFFFF;MOVWF 0xBD, BANKED;NOP
A;0x12E30;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12E32;0x6FBC;0xFFFF;MOVWF 0xBC, BANKED;NOP
A;0x12E34;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12E36;0x6FBA;0xFFFF;MOVWF 0xBA, BANKED;NOP
A;0x12E38;0x0EBA;0xFFFF;MOVLW 0xBA;NOP
A;0x12E3A;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12E3C;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x12E3E;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x12E40;0x6F61;0xFFFF;MOVWF 0x61, BANKED;NOP
A;0x12E42;0x0012;0xFFFF;RETURN 0;NOP
A;0x12E44;0xECC0;0xFFFF;CALL 0x12D80, 0;NOP
B;0x12E46;0xF096;0xFFFF;NOP;NOP
A;0x12E48;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12E4A;0x6F64;0xFFFF;MOVWF 0x64, BANKED;NOP
A;0x12E4C;0xEC89;0xFFFF;CALL 0x11312, 0;NOP
B;0x12E4E;0xF089;0xFFFF;NOP;NOP
A;0x12E50;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12E52;0x6F65;0xFFFF;MOVWF 0x65, BANKED;NOP
A;0x12E54;0x5164;0xFFFF;MOVF 0x64, W, BANKED;NOP
A;0x12E56;0x5D65;0xFFFF;SUBWF 0x65, W, BANKED;NOP
A;0x12E58;0xB0D8;0xFFFF;BTFSC STATUS, 0, ACCESS;NOP
A;0x12E5A;0x0012;0xFFFF;RETURN 0;NOP
A;0x12E5C;0x5165;0xFFFF;MOVF 0x65, W, BANKED;NOP
A;0x12E5E;0xECF6;0xFFFF;CALL 0x12BEC, 0;NOP
B;0x12E60;0xF095;0xFFFF;NOP;NOP
A;0x12E62;0x0012;0xFFFF;RETURN 0;NOP
A;0x12E64;0x0E01;0xFFFF;MOVLW 0x1;NOP
A;0x12E66;0x0101;0xFFFF;MOVLB 0x1;NOP
A;0x12E68;0x27DD;0xFFFF;ADDWF 0xDD, F, BANKED;NOP
A;0x12E6A;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12E6C;0x23DE;0xFFFF;ADDWFC 0xDE, F, BANKED;NOP
A;0x12E6E;0x23DF;0xFFFF;ADDWFC 0xDF, F, BANKED;NOP
A;0x12E70;0x23E0;0xFFFF;ADDWFC 0xE0, F, BANKED;NOP
A;0x12E72;0x5058;0xFFFF;MOVF 0x58, W, ACCESS;NOP
A;0x12E74;0xA4D8;0xFFFF;BTFSS STATUS, 2, ACCESS;NOP
A;0x12E76;0x0012;0xFFFF;RETURN 0;NOP
A;0x12E78;0x2BF6;0xFFFF;INCF 0xF6, F, BANKED;NOP
A;0x12E7A;0x51F6;0xFFFF;MOVF 0xF6, W, BANKED;NOP
A;0x12E7C;0xA4D8;0xFFFF;BTFSS STATUS, 2, ACCESS;NOP
A;0x12E7E;0x0012;0xFFFF;RETURN 0;NOP
A;0x12E80;0x69F6;0xFFFF;SETF 0xF6, BANKED;NOP
A;0x12E82;0x0012;0xFFFF;RETURN 0;NOP
A;0x12E84;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12E86;0x6F62;0xFFFF;MOVWF 0x62, BANKED;NOP
A;0x12E88;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12E8A;0x3962;0xFFFF;SWAPF 0x62, W, BANKED;NOP
A;0x12E8C;0x0B0F;0xFFFF;ANDLW 0xF;NOP
A;0x12E8E;0x0B0F;0xFFFF;ANDLW 0xF;NOP
A;0x12E90;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x12E92;0x5162;0xFFFF;MOVF 0x62, W, BANKED;NOP
A;0x12E94;0x0B0F;0xFFFF;ANDLW 0xF;NOP
A;0x12E96;0x6F61;0xFFFF;MOVWF 0x61, BANKED;NOP
A;0x12E98;0x5160;0xFFFF;MOVF 0x60, W, BANKED;NOP
A;0x12E9A;0x0D0A;0xFFFF;MULLW 0xA;NOP
A;0x12E9C;0x50F3;0xFFFF;MOVF PROD, W, ACCESS;NOP
A;0x12E9E;0x2561;0xFFFF;ADDWF 0x61, W, BANKED;NOP
A;0x12EA0;0x0012;0xFFFF;RETURN 0;NOP
A;0x12EA2;0x9EC2;0xFFFF;BCF ADCON0, 7, ACCESS;NOP
A;0x12EA4;0x8CC2;0xFFFF;BSF ADCON0, 6, ACCESS;NOP
A;0x12EA6;0x50C2;0xFFFF;MOVF ADCON0, W, ACCESS;NOP
A;0x12EA8;0x0BC3;0xFFFF;ANDLW 0xC3;NOP
A;0x12EAA;0x0930;0xFFFF;IORLW 0x30;NOP
A;0x12EAC;0x6EC2;0xFFFF;MOVWF ADCON0, ACCESS;NOP
A;0x12EAE;0x80C2;0xFFFF;BSF ADCON0, 0, ACCESS;NOP
A;0x12EB0;0x9EC1;0xFFFF;BCF ADCON1, 7, ACCESS;NOP
A;0x12EB2;0x9CC1;0xFFFF;BCF ADCON1, 6, ACCESS;NOP
A;0x12EB4;0x50C1;0xFFFF;MOVF ADCON1, W, ACCESS;NOP
A;0x12EB6;0x0BF8;0xFFFF;ANDLW 0xF8;NOP
A;0x12EB8;0x0906;0xFFFF;IORLW 0x6;NOP
A;0x12EBA;0x6EC1;0xFFFF;MOVWF ADCON1, ACCESS;NOP
A;0x12EBC;0x0012;0xFFFF;RETURN 0;NOP
A;0x12EBE;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12EC0;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x12EC2;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12EC4;0x5160;0xFFFF;MOVF 0x60, W, BANKED;NOP
A;0x12EC6;0xB4D8;0xFFFF;BTFSC STATUS, 2, ACCESS;NOP
A;0x12EC8;0xD004;0xFFFF;BRA 0x2ED2;NOP
A;0x12ECA;0x0E01;0xFFFF;MOVLW 0x1;NOP
A;0x12ECC;0x0101;0xFFFF;MOVLB 0x1;NOP
A;0x12ECE;0x6FED;0xFFFF;MOVWF 0xED, BANKED;NOP
A;0x12ED0;0x0012;0xFFFF;RETURN 0;NOP
A;0x12ED2;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12ED4;0x0101;0xFFFF;MOVLB 0x1;NOP
A;0x12ED6;0x6FED;0xFFFF;MOVWF 0xED, BANKED;NOP
A;0x12ED8;0x0012;0xFFFF;RETURN 0;NOP
A;0x12EDA;0x1E3A;0xFFFF;COMF 0x3A, F, ACCESS;NOP
A;0x12EDC;0x0C39;0xFFFF;RETLW 0x39;NOP
A;0x12EDE;0x5C74;0xFFFF;SUBWF SSP2ADD, W, ACCESS;NOP
A;0x12EE0;0x0C6D;0xFFFF;RETLW 0x6D;NOP
A;0x12EE2;0x3A01;0xFFFF;SWAPF 0x1, F, ACCESS;NOP
A;0x12EE4;0x391E;0xFFFF;SWAPF 0x1E, W, BANKED;NOP
A;0x12EE6;0x740C;0xFFFF;BTG 0xC, 2, ACCESS;NOP
A;0x12EE8;0x6D5C;0xFFFF;NEGF 0x5C, BANKED;NOP
A;0x12EEA;0x010C;0xFFFF;MOVLB 0xC;NOP
A;0x12EEC;0x454E;0xFFFF;RLNCF 0x4E, W, BANKED;NOP
A;0x12EEE;0x4657;0xFFFF;RLNCF 0x57, F, ACCESS;NOP
A;0x12EF0;0x4C49;0xFFFF;DCFSNZ 0x49, W, ACCESS;NOP
A;0x12EF2;0x2045;0xFFFF;ADDWFC 0x45, W, ACCESS;NOP
B;0x12EF4;0x0000;0xFFFF;NOP;NOP
A;0x12EF6;0x0E55;0xFFFF;MOVLW 0x55;NOP
A;0x12EF8;0x6EA7;0xFFFF;MOVWF EECON2, ACCESS;NOP
A;0x12EFA;0x0EAA;0xFFFF;MOVLW 0xAA;NOP
A;0x12EFC;0x6EA7;0xFFFF;MOVWF EECON2, ACCESS;NOP
A;0x12EFE;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x12F00;0x8B3F;0xFFFF;BSF 0x3F, 5, BANKED;NOP
A;0x12F02;0x8F3F;0xFFFF;BSF 0x3F, 7, BANKED;NOP
A;0x12F04;0x953F;0xFFFF;BCF 0x3F, 2, BANKED;NOP
A;0x12F06;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12F08;0x6F3E;0xFFFF;MOVWF 0x3E, BANKED;NOP
A;0x12F0A;0xEC7B;0xFFFF;CALL 0x11EF6, 0;NOP
B;0x12F0C;0xF08F;0xFFFF;NOP;NOP
A;0x12F0E;0x0012;0xFFFF;RETURN 0;NOP
A;0x12F10;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12F12;0x6F60;0xFFFF;MOVWF 0x60, BANKED;NOP
A;0x12F14;0x0102;0xFFFF;MOVLB 0x2;NOP
A;0x12F16;0x5105;0xFFFF;MOVF 0x5, W, BANKED;NOP
A;0x12F18;0x0100;0xFFFF;MOVLB 0x0;NOP
A;0x12F1A;0x1560;0xFFFF;ANDWF 0x60, W, BANKED;NOP
A;0x12F1C;0x0900;0xFFFF;IORLW 0x0;NOP
A;0x12F1E;0xB4D8;0xFFFF;BTFSC STATUS, 2, ACCESS;NOP
A;0x12F20;0xD002;0xFFFF;BRA 0x2F26;NOP
A;0x12F22;0x0E01;0xFFFF;MOVLW 0x1;NOP
A;0x12F24;0x0012;0xFFFF;RETURN 0;NOP
A;0x12F26;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12F28;0x0012;0xFFFF;RETURN 0;NOP
A;0x12F2A;0x0102;0xFFFF;MOVLB 0x2;NOP
A;0x12F2C;0x81BB;0xFFFF;BSF 0xBB, 0, BANKED;NOP
A;0x12F2E;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x12F30;0x6FBD;0xFFFF;MOVWF 0xBD, BANKED;NOP
A;0x12F32;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12F34;0x6FBC;0xFFFF;MOVWF 0xBC, BANKED;NOP
A;0x12F36;0x0E00;0xFFFF;MOVLW 0x0;NOP
A;0x12F38;0x6FBA;0xFFFF;MOVWF 0xBA, BANKED;NOP
A;0x12F3A;0x0EBA;0xFFFF;MOVLW 0xBA;NOP
A;0x12F3C;0x6E01;0xFFFF;MOVWF 0x1, ACCESS;NOP
A;0x12F3E;0x0E02;0xFFFF;MOVLW 0x2;NOP
A;0x12F40;0x6E02;0xFFFF;MOVWF 0x2, ACCESS;NOP
A;0x12F42;0x0012;0xFFFF;RETURN 0;NOP
A;0x12F44;0x9EC7;0xFFFF;BCF SSP1STAT, 7, ACCESS;NOP
A;0x12F46;0x9CC7;0xFFFF;BCF SSP1STAT, 6, ACCESS;NOP
A;0x12F48;0x0E1D;0xFFFF;MOVLW 0x1D;NOP
A;0x12F4A;0x6EC8;0xFFFF;MOVWF SSP1ADD, ACCESS;NOP
A;0x12F4C;0x9EC6;0xFFFF;BCF SSP1CON1, 7, ACCESS;NOP
A;0x12F4E;0x9CC6;0xFFFF;BCF SSP1CON1, 6, ACCESS;NOP
A;0x12F50;0x50C6;0xFFFF;MOVF SSP1CON1, W, ACCESS;NOP
A;0x12F52;0x0BF0;0xFFFF;ANDLW 0xF0;NOP
A;0x12F54;0x0908;0xFFFF;IORLW 0x8;NOP
A;0x12F56;0x6EC6;0xFFFF;MOVWF SSP1CON1, ACCESS;NOP
A;0x12F58;0x8AC6;0xFFFF;BSF SSP1CON1, 5, ACCESS;NOP
A;0x12F5A;0x0012;0xFFFF;RETURN 0;NOP
A;0x12F5C;0x010F;0xFFFF;MOVLB 0xF;NOP
A;0x12F5E;0x9152;0xFFFF;BCF 0x52, 0, BANKED;NOP
A;0x12F60;0x9352;0xFFFF;BCF 0x52, 1, BANKED;NOP
